step,noise_loss,clip_loss
50,0.141625,0.206577
100,0.129399,0.210168
150,0.138724,0.211890
200,0.115386,0.204470
250,0.140269,0.212781
300,0.150538,0.211201
350,0.122459,0.208313
400,0.121893,0.209143
450,0.124190,0.208926
500,0.137964,0.210842
550,0.134290,0.205129
600,0.123306,0.209512
650,0.114241,0.205027
700,0.130157,0.202725
750,0.112563,0.203621
800,0.143261,0.211841
850,0.120742,0.209602
900,0.136525,0.210747
950,0.112869,0.207073
1000,0.118983,0.211921
1050,0.120326,0.207556
1100,0.120036,0.208989
1150,0.134641,0.214280
1200,0.132769,0.209695
1250,0.133014,0.206472
1300,0.128019,0.215298
1350,0.140531,0.213508
1400,0.131032,0.206326
1450,0.115196,0.205579
1500,0.132595,0.212976
1550,0.120981,0.207578
1600,0.128811,0.211228
1650,0.143674,0.212156
1700,0.127307,0.210293
1750,0.121839,0.203813
1800,0.130751,0.211477
1850,0.108648,0.205081
1900,0.129827,0.209780
1950,0.131173,0.206191
2000,0.124909,0.211628
2050,0.132714,0.209539
2100,0.134565,0.215657
2150,0.154518,0.215283
2200,0.118708,0.210317
2250,0.125309,0.210544
2300,0.127878,0.208745
2350,0.118408,0.205479
2400,0.114544,0.208918
2450,0.122208,0.210317
2500,0.117512,0.210623
2550,0.122706,0.210833
2600,0.107464,0.205388
2650,0.137947,0.213271
2700,0.126781,0.211399
2750,0.143226,0.210229
2800,0.116975,0.207866
2850,0.125636,0.211191
2900,0.123331,0.204556
2950,0.127197,0.212717
3000,0.108518,0.211211
3050,0.127710,0.210735
3100,0.129362,0.213909
3150,0.143138,0.210515
3200,0.139521,0.210671
3250,0.122794,0.211719
3300,0.132602,0.216133
3350,0.112397,0.208904
3400,0.120548,0.213999
3450,0.118066,0.205757
3500,0.136123,0.210469
3550,0.123810,0.213210
3600,0.128769,0.214114
3650,0.128023,0.214236
3700,0.121053,0.211858
3750,0.131219,0.212500
3800,0.133839,0.211799
3850,0.116366,0.206021
3900,0.131235,0.214270
3950,0.122805,0.211128
4000,0.141104,0.214058
4050,0.114524,0.213884
4100,0.135443,0.208870
4150,0.128469,0.213601
4200,0.136590,0.212639
4250,0.126255,0.210244
4300,0.134467,0.214475
4350,0.130138,0.211460
4400,0.154398,0.217119
4450,0.121472,0.211699
4500,0.138822,0.212937
4550,0.132123,0.214094
4600,0.133245,0.211492
4650,0.129310,0.209832
4700,0.138219,0.215767
4750,0.122514,0.208015
4800,0.154474,0.220061
4850,0.127387,0.209993
4900,0.150370,0.217275
4950,0.121526,0.207539
5000,0.134346,0.208835
